id,numero,titulo,director,anio_estreno,pais_origen,fecha_vista,anio_visto,es_revisionado,estado_enriquecimiento,fuente,genero,animo,sinopsis,poster_url,rating_externo,notas_ia
P0012-1,12,Summer of 84,Anouk Whissell/François Simard/Yoann-Karl Whissell,2018,USA,2019-01-10,2019,No,Migrada,CSV historico,,,,,,
P0013-1,13,Unsane,Steven Soderbergh,2018,USA,2019-01-12,2019,No,Migrada,CSV historico,,,,,,
P0014-1,14,Birdbox,Susanne Bier,2018,USA,2019-01-13,2019,No,Migrada,CSV historico,,,,,,
P0015-1,15,True Story,Rupert Goold,2014,USA,2019-01-16,2019,No,Migrada,CSV historico,,,,,,
P0016-1,16,A quiet place,John Krasinski,2018,USA,2019-01-17,2019,Si,Migrada,CSV historico,,,,,,
P0017-1,17,Massacre at the stadium,B.J. Perlmutt,2019,USA,2019-01-18,2019,No,Migrada,CSV historico,,,,,,
P0018-1,18,Ultimos dias de la victima,Adolfo Aristarain,1982,Argentina,2019-01-19,2019,No,Migrada,CSV historico,,,,,,
P0019-1,19,78/52,Alexandre O. Philippe,2017,USA,2019-01-20,2019,No,Migrada,CSV historico,,,,,,
P0020-1,20,"Dont worry, he wont get far on foot",Gus Van Sant,2018,USA,2019-01-21,2019,No,Migrada,CSV historico,,,,,,
P0021-1,21,Blackkklansman,Spike Lee,2018,USA,2019-01-22,2019,No,Migrada,CSV historico,,,,,,
P0022-1,22,Under the silver lake,David Robert Mitchell,2018,USA,2019-01-23,2019,No,Migrada,CSV historico,,,,,,
P0023-1,23,Creed 2,Steven Caple Jr,2018,USA,2019-01-23,2019,Si,Migrada,CSV historico,,,,,,
P0024-1,24,12 angry men,Sydney Lumet,1957,USA,2019-01-24,2019,Si,Migrada,CSV historico,,,,,,
P0025-1,25,Reservoir dogs,Quentin Tarantino,1992,USA,2019-01-27,2019,Si,Migrada,CSV historico,,,,,,
P0026-1,26,Roma,Alfonso Quaron,2018,Mexico,2019-01-28,2019,No,Migrada,CSV historico,,,,,,
P0027-2,27,Pulp Fiction,Quentin Tarantino,1994,USA,2019-01-29,2019,Si,Migrada,CSV historico,,,,,,
P0028-1,28,Punch drunk love,Paul Thomas Anderson,2002,USA,2019-01-31,2019,No,Migrada,CSV historico,,,,,,
P0029-1,29,Forgetting Sarah Marshall,Nicholas Stoller,2008,USA,2019-02-02,2019,Si,Migrada,CSV historico,,,,,,
P0030-1,30,Voley,Martin Piroyansky,2015,Argentina,2019-02-02,2019,No,Migrada,CSV historico,,,,,,
P0031-1,31,Three identical strangers,Tim Wardle,2018,USA,2019-02-03,2019,No,Migrada,CSV historico,,,,,,
P0032-1,32,Kill Bill,Quentin Tarantino,2003,USA,2019-02-06,2019,Si,Migrada,CSV historico,,,,,,
P0033-1,33,El potro: Lo mejor del amor,Lorena Muñoz,2018,Argentina,2019-02-09,2019,No,Migrada,CSV historico,,,,,,
P0034-1,34,Kill Bill II,Quentin Tarantino,2004,USA,2019-02-11,2019,Si,Migrada,CSV historico,,,,,,
P0035-1,35,Aterrados,Demian Rugna,2018,Argentina,2019-02-15,2019,Si,Migrada,CSV historico,,,,,,
P0036-1,36,The Boy,William Brent Bell,2016,USA/UK/China,2019-02-22,2019,No,Migrada,CSV historico,,,,,,
P0037-1,37,Abducted in plain sight,Skye Borgman,2017,USA,2019-02-23,2019,No,Migrada,CSV historico,,,,,,
P0038-1,38,The favourite,Yorgos Lanthimos,2018,USA,2019-02-23,2019,No,Migrada,CSV historico,,,,,,
P0039-1,39,The green Book,Peter Farrelly,2018,USA,2019-02-24,2019,No,Migrada,CSV historico,,,,,,
P0040-1,40,A star is born,Bradley Cooper,2018,USA,2019-02-24,2019,No,Migrada,CSV historico,,,,,,
P0041-1,41,El Angel,Luis Ortega,2018,Argentina,2019-02-25,2019,No,Migrada,CSV historico,,,,,,
P0042-1,42,Black Mirror: Bandersnatch,David Slade,2018,USA,2019-02-26,2019,No,Migrada,CSV historico,,,,,,
P0043-1,43,Fyre,Chris Smith,2019,USA,2019-02-26,2019,No,Migrada,CSV historico,,,,,,
P0044-1,44,Funny Games,Michael Haneke,2007,USA/UK/Francia,2019-02-28,2019,No,Migrada,CSV historico,,,,,,
P0045-1,45,Rojo,Benjamin Naishtat,2018,Argentina,2019-03-03,2019,No,Migrada,CSV historico,,,,,,
P0046-1,46,Pineapple Express,David Gordon Green,2008,USA,2019-03-08,2019,No,Migrada,CSV historico,,,,,,
P0047-1,47,Hangover,Todd Phillips,2009,USA,2019-03-11,2019,No,Migrada,CSV historico,,,,,,
P0048-1,48,Colonia,Florian Gallenberger,2015,Alemania,2019-03-15,2019,No,Migrada,CSV historico,,,,,,
P0049-1,49,What keeps you alive,Colin Minihan,2018,Canada,2019-03-16,2019,No,Migrada,CSV historico,,,,,,
P0050-1,50,Leaving Neverland,Dan Reed,2018,USA,2019-03-16,2019,No,Migrada,CSV historico,,,,,,
P0051-1,51,Isnt it romantic?,Todd Strauss-Schulson,2019,USA/Australia,2019-03-17,2019,No,Migrada,CSV historico,,,,,,
P0052-1,52,Lord of chaos,Jonas Akerlund,2018,UK/Suecia,2019-03-18,2019,Si,Migrada,CSV historico,,,,,,
P0053-1,53,Death proof,Quentin Tarantino,2007,USA,2019-03-21,2019,Si,Migrada,CSV historico,,,,,,
P0054-1,54,The dirt,Jeff Tremaine,2019,USA,2019-03-24,2019,Si,Migrada,CSV historico,,,,,,
P0055-1,55,Django Unchained,Quentin Tarantino,2012,USA,2019-03-24,2019,Si,Migrada,CSV historico,,,,,,
P0056-1,56,The incredible Burt Wonderstone,Don Scardino,2013,USA,2019-03-25,2019,No,Migrada,CSV historico,,,,,,
P0057-1,57,Inglourious Basterds,Quentin Tarantino,2009,USA/Alemania,2019-03-31,2019,No,Migrada,CSV historico,,,,,,
P0058-1,58,Jackie Brown,Quentin Tarantino,1997,USA,2019-04-02,2019,No,Migrada,CSV historico,,,,,,
P0059-1,59,The Hateful Eight,Quentin Tarantino,2015,USA,2019-04-03,2019,No,Migrada,CSV historico,,,,,,
P0060-1,60,Behind the curve,Daniel J Clarck,2018,USA,2019-04-05,2019,No,Migrada,CSV historico,,,,,,
P0061-1,61,Hell or high water,David Mackenzie,2016,USA,2019-04-07,2019,No,Migrada,CSV historico,,,,,,
P0062-1,62,Spotlight,Tom McCarthy,2015,USA,2019-04-23,2019,No,Migrada,CSV historico,,,,,,
P0063-1,63,Creed,Ryan Coogler,2015,USA,2019-04-28,2019,No,Migrada,CSV historico,,,,,,
P0064-1,64,The conjuring,James Wan,2013,USA,2019-05-10,2019,No,Migrada,CSV historico,,,,,,
P0065-1,65,John Wick,Chad Stahelski,2014,USA,2019-05-11,2019,Si,Migrada,CSV historico,,,,,,
P0066-1,66,"John Wick, chapter 2",Chad Stahelski,2017,USA,2019-05-12,2019,No,Migrada,CSV historico,,,,,,
P0067-1,67,Senna,Asif Kapadia,2010,UK,2019-05-25,2019,No,Migrada,CSV historico,,,,,,
P0068-1,68,Burning,Lee Chang-Dong,2018,Corea del Sur,2019-06-01,2019,No,Migrada,CSV historico,,,,,,
P0069-1,69,Rocky,John G Avildsen,1976,USA,2019-06-02,2019,No,Migrada,CSV historico,,,,,,
P0070-1,70,John Wick 3,Chad Stahelski,2019,USA,2019-06-05,2019,Si,Migrada,CSV historico,,,,,,
P0071-1,71,Superbad,Greg Mottola,2007,USA,2019-06-06,2019,No,Migrada,CSV historico,,,,,,
P0072-1,72,Muere Monstruo Muere,Alejandro Fadel,2019,Argentina,2019-06-08,2019,No,Migrada,CSV historico,,,,,,
P0073-1,73,Melbourne,Nima Javidi,2014,Iran,2019-06-12,2019,No,Migrada,CSV historico,,,,,,
P0074-1,74,"Mechanic, resurrection",Dennis Gansel,2016,USA/Francia,2019-06-16,2019,No,Migrada,CSV historico,,,,,,
P0075-1,75,Rocky 2,Sylvester Stallone,1979,USA,2019-06-19,2019,No,Migrada,CSV historico,,,,,,
P0076-1,76,Rocky 3,Sylvester Stallone,1982,USA,2019-06-22,2019,No,Migrada,CSV historico,,,,,,
P0077-1,77,"Sicario 2, day of Soldad",Stefano Sollima,2018,USA,2019-06-24,2019,No,Migrada,CSV historico,,,,,,
P0078-2,78,John Wick,Chad Stahelski,2014,USA,2019-06-25,2019,Si,Migrada,CSV historico,,,,,,
P0079-1,79,Plaga Zombie,Pablo Pares/Hernan Saez,1997,Argentina,2019-06-26,2019,No,Migrada,CSV historico,,,,,,
P0080-1,80,Jumanji,Joe Johnston,1995,USA,2019-06-30,2019,Si,Migrada,CSV historico,,,,,,
P0081-1,81,The guest,Adam Wingard,2014,USA,2019-06-30,2019,No,Migrada,CSV historico,,,,,,
P0082-1,82,The bride of Frankenstein,James Whale,1935,USA,2019-07-05,2019,No,Migrada,CSV historico,,,,,,
P0083-1,83,"River, el mas grande siempre",Luis Alberto Scalella/ Mariano Mucci/ Marcelo Altmark,2019,Argentina,2019-07-06,2019,No,Migrada,CSV historico,,,,,,
P0084-1,84,Lion,Garth Davis,2016,Australia/USA/UK,2019-07-08,2019,Si,Migrada,CSV historico,,,,,,
P0085-1,85,El acorazado Potemkin,Serguei Eisenstein,1925,Union Sovietica,2019-07-09,2019,No,Migrada,CSV historico,,,,,,
